solve_id,solver,solve_time,pll,pll_time,Split,STM,STPS,ETM,ETPS,Solver_count,U,U2,L,L2,F,F2,R,R2,B,B2,D,D2,simul,ghost_move
12921,Dylan Miller,4.4,U U' R2 U R' U R' U' R U' R2 D U' R' U R D' U2',0.45313703719490583,31.1%,18,13.14,18,13.14,125,8,1,0,0,0,0,5,2,0,0,2,0,2,1
12920,Dylan Miller,4.6,U' R' U2 R' D' R U' R' D R U R U' R' U' R,-0.7527692922217183,22.4%,16,15.53,16,15.53,125,5,1,0,0,0,0,8,0,0,0,2,0,0,0
12919,Dylan Miller,5.26,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U,1.0206223686850815,29.1%,17,11.11,17,11.11,125,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12918,Dylan Miller,6.72,U U' R' U' R U D' R2 U R' U R U' R U' R2' U' D U',2.510271363846793,29.0%,19,9.74,19,9.74,125,10,0,0,0,0,0,5,2,0,0,2,0,3,0
12917,Dylan Miller,4.27,U R U R' F' R U R' U' R' F R2 U' R' U,-1.4266581233663025,19.7%,15,17.86,15,17.86,125,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12916,Dylan Miller,5.46,U x R2' D2 R U R' D2 R U' R x' U',0.7723475361581292,26.7%,11,7.53,13,8.9,125,4,0,0,0,0,0,4,1,0,0,0,2,0,0
12915,Dylan Miller,5.42,M2' U' M U2' M' U' M2',-1.2493189572756223,16.4%,7,7.87,7,7.87,125,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12913,Dylan Miller,4.67,U R U R' U' D R2 U' R U' R' U R' U R2 D' U2',0.8078153693762653,31.5%,17,11.56,17,11.56,125,7,1,0,0,0,0,5,2,0,0,2,0,2,1
12912,Dylan Miller,5.18,U2' R U R' U' D R2 U' R U' R' U R' U R2 D' U2',0.13392653823168157,24.7%,17,13.28,17,13.28,125,6,2,0,0,0,0,5,2,0,0,2,0,2,1
12911,Dylan Miller,5.41,U L' U' L F L' U' L U L F' L2' U L,0.34673353754049774,24.8%,14,10.45,14,10.45,125,5,0,6,1,2,0,0,0,0,0,0,0,0,0
12910,Dylan Miller,4.6,U' x R2' D2 R U R' D2 R U' R,-0.8591727918761264,21.7%,10,10.0,11,11.0,125,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12891,Matty Hiroto Inaba,3.54,U' R2 U R' U R' U' R U' R2 D U' R' U R U' D' U',-0.2234871508453386,32.2%,18,15.79,18,15.79,72,9,0,0,0,0,0,5,2,0,0,2,0,3,1
12873,Seung Hyuk Nahm,7.89,x' R U' R D2 R' U R D2 R2',2.059972247522093,29.0%,9,3.93,10,4.37,13,2,0,0,0,0,0,4,1,0,0,0,2,0,0
12871,Seung Hyuk Nahm,5.49,U' R U U' U' R' U' R U R D R' U' R D' R' U2 R' U',1.0867034213249807,35.7%,19,9.69,19,9.69,13,8,1,0,0,0,0,8,0,0,0,2,0,0,0
12869,Ruihang Xu,5.42,x R2' F R F' R U2' r' U r U2',-0.18719469584226886,21.2%,10,8.7,11,9.57,42,1,2,0,0,2,0,2,1,0,0,0,0,0,0
12868,Ruihang Xu,5.3,U2' R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,2.4335310459494885,34.5%,19,10.38,19,10.38,42,7,1,0,0,0,0,8,1,0,0,2,0,0,1
12867,Ruihang Xu,4.17,U' R U R' U' D R2 U' R U' R' U R' U R2 u',-0.22573478028038296,27.3%,16,14.04,16,14.04,42,7,0,0,0,0,0,5,2,0,0,1,0,1,1
12866,Ruihang Xu,4.13,M2' U M U2' M' U M2' U',-0.919456300166436,23.2%,8,8.33,8,8.33,42,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12865,Ruihang Xu,4.84,U R U R' F' R U R' U' R' F R2 U' R',-0.9965364690426641,19.4%,14,14.89,14,14.89,42,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12859,Dylan Miller,4.79,U' M2' U' M' U2' M U' M2' U',-0.18528396073154266,24.8%,9,7.56,9,7.56,125,4,1,0,0,0,0,0,0,0,0,0,0,0,0
12858,Dylan Miller,5.22,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',-0.07888046107713459,23.4%,20,16.39,20,16.39,125,9,0,0,0,2,0,8,1,0,0,0,0,0,0
12856,Dylan Miller,4.3,M2' U' M' U2' M U' M2',-1.4621259565844384,19.3%,7,8.43,7,8.43,125,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12855,Dylan Miller,5.98,U R' U2 R' D' R U' R' D R U R U' R' U' R U,0.13392653823168157,21.4%,17,13.28,17,13.28,125,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12853,Dylan Miller,5.83,R U R2' F' R U R U' R' F R U' R' U',-1.0010441247486705,16.5%,14,14.58,14,14.58,125,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12852,Dylan Miller,4.46,U' R2' U' R U' R U R' U R2 D' U R U' R' D,0.06299087179540952,28.3%,16,12.7,16,12.7,125,7,0,0,0,0,0,5,2,0,0,2,0,1,0
12851,Dylan Miller,5.17,U' R U R' F' R R' U' R U U' R' U R U R' U' R' F R2 U' R',0.9142188690306734,29.0%,22,14.67,22,14.67,125,9,0,0,0,2,0,10,1,0,0,0,0,0,0
12850,Dylan Miller,4.66,U x R' U R' D2 R U' R' D2 R2 x' U2,-0.2916874603859507,24.9%,11,9.48,13,11.21,125,3,1,0,0,0,0,4,1,0,0,0,2,0,1
12849,Dylan Miller,8.51,R U R' U R' U' R2 U' R' U R' U R U,-1.6394651226751182,9.2%,14,17.95,14,17.95,125,7,0,0,0,0,0,6,1,0,0,0,0,0,2
12847,Kyle Santucci,3.52,r' D' F r U' r' F' D r2 U r' U' r' F r F',-0.6440920670892797,33.8%,16,13.45,16,13.45,28,3,0,0,0,4,0,0,0,0,0,2,0,0,0
12846,Kyle Santucci,5.8,U' R U' R' U' R U R D R' U' D' D R D' R' U2 R',0.8587894227857069,26.4%,18,11.76,18,11.76,28,5,1,0,0,0,0,8,0,0,0,4,0,1,0
12843,Kyle Santucci,3.4,R U R' F' R U R' U' R' F R2 U' R' U2,-2.235378350486324,24.4%,14,16.87,14,16.87,28,4,1,0,0,2,0,6,1,0,0,0,0,0,0
12829,Leo Borromeo,6.73,U R U' U R' R2' F2 R U2 R U2' R' F R U R' U' R' F R2,1.0311947297061872,26.0%,20,11.43,20,11.43,18,5,2,0,0,2,1,8,2,0,0,0,0,0,0
12828,Leo Borromeo,6.16,M' U M2' U M2' U M' U2 M2',-0.11425579754107819,21.3%,9,6.87,9,6.87,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12826,Leo Borromeo,5.62,U2' F R U' R' U' R U R' F' R U R' U' R' F R F' U,0.6407002317809832,28.5%,19,11.88,19,11.88,18,6,1,0,0,4,0,8,0,0,0,0,0,0,0
12825,Leo Borromeo,5.82,U2' R' U L' U2 R U' R' U2 R u,-1.1816074252033029,15.5%,11,12.22,11,12.22,18,2,3,1,0,0,0,4,0,0,0,0,0,0,0
12823,Leo Borromeo,5.06,U' L' U R' U2 L U' L' U2 L R,-0.3225195297678539,24.3%,11,8.94,11,8.94,18,3,2,4,0,0,0,2,0,0,0,0,0,0,1
12822,Leo Borromeo,4.94,U2' R' U R' U' R D' R' D R' U D' R2 U' R2' D R2 U',-0.21838766365446607,25.7%,18,14.17,18,14.17,18,5,1,0,0,0,0,5,3,0,0,4,0,1,1
12820,Leo Borromeo,5.58,l' U R' D2 R U' R' D2 R2 B2,0.7968980309510645,29.7%,10,6.02,10,6.02,18,2,0,0,0,0,0,3,1,0,1,0,2,0,0
12818,Leo Borromeo,7.82,U' U' R' U' R U D' R2 U R' U R U' R U' R2' D U' U',1.864249658613289,26.5%,19,9.18,19,9.18,18,10,0,0,0,0,0,5,2,0,0,2,0,2,0
12817,Leo Borromeo,5.94,U' R U R' F' R U R' U' R' F R2 U' R',-1.155574458674956,15.3%,14,15.38,14,15.38,18,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12815,Leo Borromeo,5.77,R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,-0.7911129272780988,18.2%,18,17.14,18,17.14,18,7,0,0,0,0,0,8,1,0,0,2,0,0,1
12814,Leo Borromeo,4.87,U2 R U R' U' D R2 U' R U' R' U R' U R2 D' U',0.9530958301211463,35.3%,17,9.88,17,9.88,18,7,1,0,0,0,0,5,2,0,0,2,0,2,1
12812,Leo Borromeo,5.53,M' U M2' U M2' U M' U2 M2',-0.37458546282454785,21.9%,9,7.44,9,7.44,18,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12787,Seung Hyuk Nahm,6.01,x R2' D2 R U R' D2 R U' R x' U',0.6443085003262935,30.1%,10,5.52,12,6.63,13,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12780,Ruihang Xu,4.11,U' U' R U R' D U' R2 U' R U' R' U R' U R2 U' D',1.4700289349966367,38.4%,18,11.39,18,11.39,42,9,0,0,0,0,0,5,2,0,0,2,0,2,1
12779,Dylan Miller,5.75,U2' R' U2 R' D' R U' R' D R U R U' R' U' R U,0.27579787110422566,23.0%,17,12.88,17,12.88,125,5,2,0,0,0,0,8,0,0,0,2,0,0,0
12778,Dylan Miller,5.5,U' R U R' F' R U R' U' R' F R2 U' R',-0.6108979593491742,19.5%,14,13.08,14,13.08,125,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12776,Dylan Miller,4.95,M2' U' M' U2' M U' M2' U,-1.1429154576212142,18.6%,8,8.7,8,8.7,125,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12775,Dylan Miller,6.01,U2 R U R' U' R' F R2 U' R' U' R U R' F' U,-0.2207517939496787,19.6%,16,13.56,16,13.56,125,6,1,0,0,2,0,6,1,0,0,0,0,0,0
12774,Dylan Miller,4.05,R U R' U' R' F R2 U' R' U' R U R' F',-0.5754301261310382,26.7%,14,12.96,14,12.96,125,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12773,Dylan Miller,5.1,R' U L' U2 R U' R' U2 R r,-1.2138511240574863,17.6%,10,11.11,10,11.11,125,2,2,1,0,0,0,4,0,0,0,0,0,0,0
12770,Dylan Miller,5.13,R U R' U' R' F R2 U' R' U' R U R' F',0.20486220466795363,25.3%,14,10.77,14,10.77,125,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12769,Dylan Miller,5.02,R' D' R U' R' D R U' R' D' R U2 R' D R,0.5240727036311771,27.7%,15,10.79,15,10.79,125,2,1,0,0,0,0,8,0,0,0,4,0,0,0
12768,Dylan Miller,4.94,U' M2' U' M' U2' M U' M2' U,-1.4266581233663025,17.0%,9,10.71,9,10.71,125,4,1,0,0,0,0,0,0,0,0,0,0,0,0
12767,Dylan Miller,6.0,U' R2 U' R2' D R2 U' R2' U R2 U D' R2' U',-0.9655762915305345,16.2%,14,14.43,14,14.43,125,6,0,0,0,0,0,0,6,0,0,2,0,1,0
12766,Dylan Miller,5.7,U2' R' U2 R' D' R U' R' D R U R U' R' U' R,0.09845870501354555,22.3%,16,12.6,16,12.6,125,4,2,0,0,0,0,8,0,0,0,2,0,0,0
12765,Dylan Miller,5.0,M2' U' M U2' M' U' M2' U',-0.3980909600403588,22.6%,8,7.08,8,7.08,125,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12764,Dylan Miller,4.23,U R U R' U' R' F R2 U' R' U' R U R' F',-0.7527692922217183,24.3%,15,14.56,15,14.56,125,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12763,Dylan Miller,4.84,F' U' F R2 u R' U R U' R u' R2' U2',0.34673353754049774,27.7%,13,9.7,13,9.7,125,3,1,0,0,2,0,3,2,0,0,0,0,0,0
12762,Dylan Miller,5.39,U' R U R' U' R' F R2 U' R' U' R U R' F',-0.6463657925673102,19.7%,15,14.15,15,14.15,125,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12761,Dylan Miller,4.91,R' U' R' D' R U' R' D R U R' D' R U R' D R2,-0.3626231268222228,23.2%,17,14.91,17,14.91,125,4,0,0,0,0,0,8,1,0,0,4,0,0,0
12760,Dylan Miller,4.83,U R U R' U R' U' R2 U' R' U R' U R U,-1.3557224569300304,17.8%,15,17.44,15,17.44,125,8,0,0,0,0,0,6,1,0,0,0,0,0,2
12759,Dylan Miller,5.92,R2' U R U R' U' R3 U' R' U R',-1.1429154576212142,15.5%,11,11.96,11,11.96,125,5,0,0,0,0,0,5,1,0,0,0,0,0,1
12758,Dylan Miller,5.0,R U R' F' R U R' U' R' F R2 U' R',-1.3202546237118944,17.4%,13,14.94,13,14.94,125,4,0,0,0,2,0,6,1,0,0,0,0,0,0
12757,Dylan Miller,4.64,R' U2 R' D' R U' R' D R U R U' R' U' R,0.34673353754049774,28.9%,15,11.19,15,11.19,125,4,1,0,0,0,0,8,0,0,0,2,0,0,0
12755,Dylan Miller,4.65,U R U R' F' R U R' U' R' F R2 U' R' U,-0.9301084583123984,21.1%,15,15.31,15,15.31,125,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12754,Dylan Miller,5.74,U2' x R' U R' D2 R U' R' D2 R2 x' U',1.1624937015576255,27.4%,11,7.01,13,8.28,125,3,1,0,0,0,0,4,1,0,0,0,2,0,1
12753,Dylan Miller,5.38,U R U' R' U' R U R' U R' D' R U' R' D R2 U R' U,0.24033003788608964,24.3%,19,14.5,19,14.5,125,8,0,0,0,0,0,8,1,0,0,2,0,0,1
12752,Dylan Miller,5.44,R2 U R' U R' U' R U' R2 D U' R' U R D' U,0.5950083700674491,25.9%,16,11.35,16,11.35,125,7,0,0,0,0,0,5,2,0,0,2,0,2,1
12751,Dylan Miller,7.08,U2' R' U R U' R' F' U' R R' F R U R' F R' F' R U' R,3.3260315278639214,30.8%,20,9.17,20,9.17,125,5,1,0,0,4,0,10,0,0,0,0,0,0,0
12750,Dylan Miller,5.2,U R U R' U R' U' R2 U' R' U R' U R U2',-0.7527692922217183,19.8%,15,14.56,15,14.56,125,7,1,0,0,0,0,6,1,0,0,0,0,0,2
12743,Yiheng Wang,3.4,U R U R' F' R U R' U' R' R R' F R2 U' R' U2,-0.038481351194502494,31.5%,17,15.89,17,15.89,202,5,1,0,0,2,0,8,1,0,0,0,0,0,0
12721,Max Park,4.96,U' R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',-0.78867420072445,26.0%,20,15.5,20,15.5,9,9,0,0,0,2,0,8,1,0,0,0,0,0,0
12720,Max Park,5.26,R' U U R U' U' R' F R U R' U' R' F' R2 U',0.394337100362225,27.8%,16,10.96,16,10.96,9,7,0,0,0,2,0,6,1,0,0,0,0,0,0
12719,Max Park,4.5,R U R' F' R U R' U' R' F R2 U' R' U2,-1.4149743012997495,26.7%,14,11.67,14,11.67,9,4,1,0,0,2,0,6,1,0,0,0,0,0,0
12718,Max Park,5.84,u' R U R' U' D R2 U' R U' R' U R' U R2 U' U',0.4639260004261472,25.2%,17,11.56,17,11.56,9,8,0,0,0,0,0,5,2,0,0,1,0,1,1
12711,Timofei Tarasenko,4.93,R U R' F' R U R' U' R' F R2 U' R' U,-0.6554735253444613,22.5%,14,12.61,14,12.61,9,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12710,Timofei Tarasenko,5.33,R U R' U' D R2 U' R U' R' U R' U R2 U' U' D',1.310947050688925,32.1%,17,9.94,17,9.94,9,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12709,Timofei Tarasenko,5.33,U' R U R' F' R U2 R' U2' R' F R U R U2' R' U',1.2126260218872555,31.5%,17,10.12,17,10.12,9,4,3,0,0,2,0,8,0,0,0,0,0,0,0
12708,Timofei Tarasenko,5.1,U R' U' R U D' R2 U R' U R U' R U' R2' D U' U',0.8521155829478017,30.8%,18,11.46,18,11.46,9,9,0,0,0,0,0,5,2,0,0,2,0,2,0
12707,Timofei Tarasenko,5.62,U R' D2' R U' R' D2' R2 x' U',-1.2126260218872547,16.7%,9,9.57,10,10.64,9,3,0,0,0,0,0,3,1,0,0,0,2,0,0
12682,Yiheng Wang,3.99,U' x' R2 D2 R' U' R D2 R' U R' x U,0.5013264919506012,30.6%,11,9.02,13,10.66,202,4,0,0,0,0,0,4,1,0,0,0,2,0,1
12681,Yiheng Wang,5.62,U' D' R U R' U' D R2 U' R U' R' U R' U R2 U2',1.940814073670879,28.8%,17,10.49,17,10.49,202,7,1,0,0,0,0,5,2,0,0,2,0,2,1
12680,Yiheng Wang,3.89,x' R2 D2 R' U' R D2 R' U R',-0.21841729890953732,26.2%,9,8.82,10,9.8,202,2,0,0,0,0,0,4,1,0,0,0,2,0,1
12679,Yiheng Wang,4.73,R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U',1.9768012632138852,34.5%,16,9.82,16,9.82,202,3,2,0,0,2,1,6,2,0,0,0,0,0,0
12677,Yiheng Wang,3.97,U D' R2 U R' U R' U' R U' R2 U' D R' U R U,2.480621916815983,44.6%,17,9.6,17,9.6,202,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12676,Yiheng Wang,4.89,U' R U R' F' R U R' U' R' F R2 U' R',-0.5782891943396066,18.8%,14,15.22,14,15.22,202,5,0,0,0,2,0,6,1,0,0,0,0,0,0
12675,Yiheng Wang,4.51,U2 x R2' D2 R U R' D2 R U' R x' U,0.4653393024075942,26.8%,11,9.09,13,10.74,202,3,1,0,0,0,0,4,1,0,0,0,2,0,0
12674,Yiheng Wang,4.06,U' R' U2' R U2' R' F R U R' U' R' F' R2 U',-0.07446854073750946,26.1%,15,14.15,15,14.15,202,4,2,0,0,2,0,6,1,0,0,0,0,0,0
12673,Yiheng Wang,3.83,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R,-0.07446854073750946,27.7%,18,16.98,18,16.98,202,7,0,0,0,2,0,8,1,0,0,0,0,0,0
12672,Yiheng Wang,3.87,F R U' R' U' R U R' F' R U R' U' R' F R F' U2,0.21342897560654547,29.5%,18,15.79,18,15.79,202,5,1,0,0,4,0,8,0,0,0,0,0,0,0
12670,Yiheng Wang,4.44,U R U' R' U' R U R D R' U' R D' R' U2 R' U',-0.506314815253593,21.2%,17,18.09,17,18.09,202,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12637,Yiheng Wang,3.64,U' x' R U' R D2 R' U R D2 R2',0.4653393024075942,33.2%,10,8.26,11,9.09,202,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12636,Matty Hiroto Inaba,3.64,M2' U M2' U2 M2' U M2',-1.0250720608883979,23.9%,7,8.05,7,8.05,72,2,1,0,0,0,0,0,0,0,0,0,0,0,0
12635,Yiheng Wang,3.76,R' U2' R U2' R' F R U R' U' R' F' R2 U2',0.7532368187516499,34.3%,14,10.85,14,10.85,202,2,3,0,0,2,0,6,1,0,0,0,0,0,0
12633,Yufang Du,3.94,U' U2' R U R' F' R U R' U' R' F R2 U' R' U,0.4687835417953745,36.5%,16,11.11,16,11.11,13,6,1,0,0,2,0,6,1,0,0,0,0,0,0
12631,Matty Hiroto Inaba,3.52,U R U R' U' R' F R2 U' R' U F' L' U L,-0.9656954008852081,25.3%,15,16.85,15,16.85,72,6,0,2,0,2,0,4,1,0,0,0,0,0,0
12629,Yiheng Wang,3.54,U' D' R2 U R' U R' U' R U' R2 U' D R' U R,-0.25440448845254426,28.5%,16,15.84,16,15.84,202,7,0,0,0,0,0,5,2,0,0,2,0,2,1
12627,Yiheng Wang,3.93,U2' R U R' U' R' F R2 U' R' U' R U R' F',-1.2620457956567386,18.6%,15,20.55,15,20.55,202,5,1,0,0,2,0,6,1,0,0,0,0,0,0
12626,Yiheng Wang,3.94,U R' U' R U D' R2 U R' U R U' R U' R2' D U,-0.506314815253593,23.9%,17,18.09,17,18.09,202,8,0,0,0,0,0,5,2,0,0,2,0,2,0
12624,Yiheng Wang,3.78,U R U' R' U' R U R D R' U' R D' R' U2 R' U',-0.9741482793126828,21.4%,17,20.99,17,20.99,202,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12620,Yiheng Wang,3.78,U R2' F2 R U2 R U2' R' F R U R' U' R' F R2 U,0.717249629208643,33.9%,17,13.28,17,13.28,202,4,2,0,0,2,1,6,2,0,0,0,0,0,0
12575,Luke Garrett,4.26,U R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U2',-0.6006420475231502,26.5%,20,17.7,20,17.7,62,8,1,0,0,2,0,8,1,0,0,0,0,0,0
12563,Yiheng Wang,3.23,x R' D2 R U R' D2 R U' R x' U,-0.5423020047965996,28.8%,10,10.75,12,12.9,202,3,0,0,0,0,0,5,0,0,0,0,2,0,0
12561,Yiheng Wang,3.62,U' R U R' U R' U' R2 U' R' U R' U R U',-1.1900714165707247,20.7%,15,20.0,15,20.0,202,8,0,0,0,0,0,6,1,0,0,0,0,0,2
12560,Yiheng Wang,3.77,U2 R U R' F' R U R' U' R' F R2 U' R' U2,-1.0101354688556898,21.2%,15,18.75,15,18.75,202,4,2,0,0,2,0,6,1,0,0,0,0,0,0
12559,Yiheng Wang,3.78,U' R U R' F' R U R' U' R' R R' F R2 U' R' U2,0.10546740697752537,29.4%,17,15.32,17,15.32,202,5,1,0,0,2,0,8,1,0,0,0,0,0,0
12558,Yiheng Wang,3.08,x R' U R' D2 R U' R' D2 R2,-1.1900714165707247,24.4%,9,12.0,10,13.33,202,2,0,0,0,0,0,4,1,0,0,0,2,0,1
12550,Yiheng Wang,4.2,R U R' F' R U R' U' R' F R2 U' R' U2 R U' R' U,-0.9021739002266692,19.8%,18,21.69,18,21.69,202,6,1,0,0,2,0,8,1,0,0,0,0,0,0
12549,Yiheng Wang,3.65,U2 L' U' L F L' U' L U L F' L2' U L,-0.8301995211406553,23.3%,14,16.47,14,16.47,202,4,1,6,1,2,0,0,0,0,0,0,0,0,0
12548,Ruihang Xu,3.35,U' R U R' U' R' F R2 U' R' U' R U R' F',-0.95799638460455,28.4%,15,15.79,15,15.79,42,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12547,Ruihang Xu,4.5,U F R U' R' U' R U R' F' R U R' U' R' F R F' U,-0.3798951180328385,24.4%,19,17.27,19,17.27,42,7,0,0,0,4,0,8,0,0,0,0,0,0,0
12543,Ruihang Xu,5.1,U U' F' U' F R2 u R' U R U' R u' R2',0.506526824043785,26.1%,14,10.53,14,10.53,42,5,0,0,0,2,0,3,2,0,0,0,0,0,0
12542,Ruihang Xu,4.48,U' R U R' U' R' F R2 U' R' U' R U R' F',0.5836069929200132,30.1%,15,11.11,15,11.11,42,6,0,0,0,2,0,6,1,0,0,0,0,0,0
12541,Ruihang Xu,4.75,U2' R2' U R U R' U' R3 U' R' U R',0.3138264018532145,26.9%,12,9.38,12,9.38,42,5,1,0,0,0,0,5,1,0,0,0,0,0,1
12540,Ruihang Xu,6.33,U2' R R' r U r' U' r' F r2 U' r' U' r U r' F',1.1617082594917238,23.7%,17,11.33,17,11.33,42,5,1,0,0,2,0,2,0,0,0,0,0,0,0
12539,Ruihang Xu,4.12,R U R' U R' U' R2 U' R' U R' U R,-1.459017482300033,19.9%,13,15.85,13,15.85,42,6,0,0,0,0,0,6,1,0,0,0,0,0,2
12537,Luke Garrett,3.66,U x R2' D2 R U R' D2 R U' R,-0.938571330158679,28.1%,10,9.71,11,10.68,62,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12534,Luke Garrett,4.23,x R2' D2 R U R' D2 R U' R x' U',-0.938571330158679,24.3%,10,9.71,12,11.65,62,3,0,0,0,0,0,4,1,0,0,0,2,0,0
12533,Luke Garrett,4.31,U' R2 U R' U R' U' R U' R2 U' D R' U R D' U',-0.5668491192595974,26.5%,17,14.91,17,14.91,62,8,0,0,0,0,0,5,2,0,0,2,0,2,1
12531,Luke Garrett,6.15,U' R U' R' U' R U R D R' U' R D' R' U2 R' U',-0.938571330158679,16.7%,17,16.5,17,16.5,62,6,1,0,0,0,0,8,0,0,0,2,0,0,0
12486,Luke Garrett,4.58,U2 R U R' U' R' F R2 U' R' U F' L' U L,0.3455599438563316,30.8%,15,10.64,15,10.64,62,5,1,2,0,2,0,4,1,0,0,0,0,0,0
12485,Luke Garrett,4.4,R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R U',-0.5330561909960444,26.1%,19,16.52,19,16.52,62,8,0,0,0,2,0,8,1,0,0,0,0,0,0
12479,Matty Hiroto Inaba,3.35,U' R U R' U R' U' R2 U' R' U R' U R U2',-0.995383730886803,26.3%,15,17.05,15,17.05,72,7,1,0,0,0,0,6,1,0,0,0,0,0,2
12478,Matty Hiroto Inaba,4.16,R' U2' R U2' R' F R U R' U' R' F' R2 U,0.3702794491865578,32.2%,14,10.45,14,10.45,72,3,2,0,0,2,0,6,1,0,0,0,0,0,0
